,Corrected Gini (Structure Area)~Structure and Platform Density,,Corrected Gini (Structure Area)~Distance to Nearest Type 1 or Type 2 Site,
,R (Correlation Coefficient),p-value,R (Correlation Coefficient),p-value
Chiap_Campeche,-0.03,0.93,-0.13,0.72
Chiaps,0.2,0.57,-0.3,0.4
Out_of_the_Yuc,0.23,0.34,-0.32,0.17
Yuc_Centro,0.01,0.95,-0.25,0.02
Yuc_Norte,0.29,0.1,-0.25,0.16
Yuc_North_2,0.15,0.18,-0.04,0.73
Yuc_South,0.16,0.13,-0.11,0.29
