,Structure Area,Patio Group Area,Structure Area in Patio Group,Structure Volume,Patio Group Volume,Structure Volume in Patio Group
Structure Area,1,0.386944341,0.555450495,0.645353302,0.281421881,0.47161482
Patio Group Area,0.386944341,1,0.807707042,0.298946816,0.699766871,0.672463463
Structure Area in Patio Group,0.555450495,0.807707042,1,0.492075199,0.603243297,0.856287748
Structure Volume,0.645353302,0.298946816,0.492075199,1,0.359878096,0.568430528
Patio Group Volume,0.281421881,0.699766871,0.603243297,0.359878096,1,0.670594911
Structure Volume in Patio Group,0.47161482,0.672463463,0.856287748,0.568430528,0.670594911,1
