Unique_Identifier,Flight Region,Tile,Gini Structure Area,Corrected Gini Structure Area,Sample Size Structure.x,Mean Structure Area,Range Structure Area,Std.Deviation Structure Area,Co. of Variation Structure Area,Min. Structure Area,Lower Quantile Structure Area,Median Structure Area,Upper Quantile Structure Area,Max. Structure Area,Lower Gini Structure Area,Higher Gini Structure Area,Gini Patio Group Area,Corrected Gini Patio Group Area,Sample Size Patio Group.x,Mean Patio Group Area,Range Patio Group Area,Std. Deviation Patio Group Area,Co. of Variation Patio Group Area,Min. Patio Group Area,Lower Quantile Patio Group Area,Median Patio Group Area,Upper Quantile Patio Group Area,Max Patio Group Area,Lower Gini Patio Group Area,Higher Gini Patio Group Area,Gini Patio Group Structure Area,Corrected Gini Patio Group Structure Area,Sample Size Patio Group Structure,Mean Patio Group Structure Area,Range Patio Group Structure Area,Std. Deviation Patio Group Structure Area,Co. of Variation Patio Group Structure Area,Min. Patio Group Structure Area,Lower Quantile Patio Group Structure Area,Median Patio Group Structure Area,Upper Quantile Patio Group Structure Area,Max. Patio Group Structure Area,Lower Gini Patio Group Structure Area,Higher Gini Patio Group Structure Area,Gini Structure Volume,Corrected Gini Structure Volume,Sample Size Structure.y,Mean Structure Volume,Range Structure Volume,Std. Deviation Structure Volume,Co. of Variation Structure Volume,Min. Structure Volume,Lower Quantile Structure Volume,Median Structure Volume,Upper Quantile Structure Volume,Max. Structure Volume,Lower Gini Structure Volume,Higher Gini Structure Volume,Gini Patio Group Volume,Corrected Gini Patio Group Volume,Sample Size Patio Group.y,Mean Patio Group Volume,Range Patio Group Volume,Std. Deviation Patio Group Volume,Co. of Variation Patio Group Volume,Min. Patio Group Volume,Lower Quantile Patio Group Volume,Median Patio Group Volume,Upper Quantile Patio Group Volume,Max. Patio Group Volume,Lower Gini Patio Group Volume,Higher Gini Patio Group Volume,Gini Patio Group Structure Volume,Corrected Gini Patio Group Structure Volume,Sample Size Patio Group,Mean Patio Group Structure Volume,Range Patio Group Structure Volume,Std. Deviation Patio Group Structure Volume,Co. of Variation Patio Group Structure Volume,Min. Patio Group Structure Volume,Lower Quantile Patio Group Structure Volume,Median Patio Group Structure Volume,Upper Quantile Patio Group Structure Volume,Max Patio Group Structure Volume,Lower Gini Patio Group Structure Volume,Higher Gini Patio Group Structure Volume
21371,AMIGACarb_Yuc_North_2_Apr2013,s371,0.227631207,0.231926135,54,47.46199128,92.29345132,20.64042906,0.434883335,21.42931097,33.73017872,43.07601027,58.43806135,113.7227623,0.194300318,0.28775159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345928096,0.352580559,53,13.57808926,61.2085228,10.11800515,0.7451715,2.42742157,7.368761063,10.54546738,16.59953117,63.63594437,0.29430093,0.456273047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21372,AMIGACarb_Yuc_North_2_Apr2013,s372,0.302969605,0.306533954,86,45.93554556,140.750614,29.01146656,0.631569,20.65671829,26.57441445,35.36888937,53.30430396,161.4073323,0.26929693,0.35454818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385789774,0.390328478,86,12.94191028,50.89772606,10.22960499,0.790424657,1.770223618,6.217216492,9.46726799,13.97207594,52.66794968,0.343162843,0.447324109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21374,AMIGACarb_Yuc_North_2_Apr2013,s374,0.338879342,0.342446493,96,49.84125997,208.5733121,39.93938126,0.801331694,20.10584336,28.59611504,37.36580704,51.90209793,228.6791554,0.283390047,0.413367639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.579146912,0.585308049,95,19.75376328,175.792305,31.52646621,1.595972664,2.167627335,5.798412323,9.099571228,15.94395065,177.9599323,0.50803497,0.661582362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21375,AMIGACarb_Yuc_North_2_Apr2013,s375,0.30904441,0.311421674,131,45.68837823,209.1886023,31.46186204,0.68861849,20.10970916,26.70349808,34.63446526,50.19568538,229.2983115,0.272827242,0.376208587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4834168,0.487135391,131,15.33537023,98.53339195,17.00732606,1.109026114,2.187358856,5.540561676,9.561922073,16.06144047,100.7207508,0.443178689,0.546553407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21376,AMIGACarb_Yuc_North_2_Apr2013,s376,0.302314163,0.306000921,83,49.71300971,246.1461666,38.30270247,0.770476435,20.75975703,29.55626102,42.56851949,54.05391537,266.9059236,0.242506716,0.40970022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521563174,0.528002226,82,20.41179021,212.6891699,31.44261836,1.540414537,2.316175461,6.688024998,11.44962263,20.56525469,215.0053453,0.419773969,0.638711448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21377,AMIGACarb_Yuc_North_2_Apr2013,s377,0.409901267,0.450891393,11,76.33515932,243.4499277,70.41590698,0.922457064,20.63617229,39.35987513,49.80823601,85.31310017,264.0860999,0.306950106,0.589113608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428086365,0.470895001,11,23.81352217,78.3721199,21.43577551,0.900151408,0.866140366,10.9800787,20.46728134,28.98036957,79.23826027,0.307438544,0.700369551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21378,AMIGACarb_Yuc_North_2_Apr2013,s378,0.320729468,0.323969159,100,49.04506883,179.3798211,35.86208629,0.731206768,20.03607403,28.50973444,37.63507834,51.03057448,199.4158951,0.270449885,0.388121651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.511940042,0.517111154,100,14.72459813,174.458827,20.88698304,1.418509548,1.365276337,5.26436615,8.253691673,15.48094988,175.8241034,0.439778885,0.6412881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21379,AMIGACarb_Yuc_North_2_Apr2013,s379,0.273844482,0.277756546,71,46.48600352,167.467204,29.28397204,0.629952455,20.72712795,30.59434778,37.05049116,51.81725917,188.194332,0.223798176,0.359308773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44085241,0.447150302,71,11.24406796,84.5059042,12.45558314,1.107747052,2.065581322,4.905953884,6.733903885,13.76421309,86.57148552,0.374295666,0.574012308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21380,AMIGACarb_Yuc_North_2_Apr2013,s380,0.302304776,0.30800864,54,47.39378995,179.2555375,32.3732434,0.68306931,22.35645812,27.08754867,34.84876352,56.03362984,201.6119956,0.247169567,0.396145706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.59824559,0.609750312,53,18.84065776,174.2033558,29.71089152,1.576956171,1.331382751,4.694250107,7.191608429,22.29781723,175.5347385,0.520651398,0.711222645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21381,AMIGACarb_Yuc_North_2_Apr2013,s381,0.339784256,0.342095714,148,57.90148805,221.4187438,44.96859434,0.7766397,20.78981689,33.46093045,44.15822241,59.546767,242.2085607,0.294063637,0.390469265,0.227477444,0.248157212,12,282.2261684,468.318243,131.1839719,0.464818598,149.5814176,192.9349789,252.3529128,315.0712856,617.8996606,0.171266425,0.334135233,0.230350527,0.251291484,12,107.1096699,143.4679972,48.31625636,0.451091451,62.73169521,66.50031809,92.75597615,128.8935093,206.1996924,0.207476026,0.298378818,0.530426762,0.534035108,148,17.53501076,130.6359634,23.13339818,1.319269118,1.827812195,6.160908222,9.356709003,17.15212584,132.4637756,0.478955807,0.582738279,0.386655905,0.421806442,12,101.2868512,317.7674637,85.37774193,0.842930162,19.98929214,47.54198313,79.17775631,109.850389,337.7567558,0.279389256,0.581097704,0.275602789,0.300657588,12,27.19456609,53.29221916,15.0899703,0.554889173,9.996202469,17.32281828,23.86075592,28.96660137,63.28842163,0.212514438,0.426545752
21383,AMIGACarb_Yuc_North_2_Apr2013,s383,0.375617971,0.379450807,99,58.6979306,221.2930244,49.511461,0.843495852,20.76431798,30.39255055,40.52060991,60.15567173,242.0573424,0.327267521,0.42996356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60757268,0.613772401,99,27.39654197,254.5392418,43.78485079,1.598188955,2.509601593,6.984077454,11.42323875,19.69068241,257.0488434,0.55716458,0.671663023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21384,AMIGACarb_Yuc_North_2_Apr2013,s384,0.322764417,0.325499709,119,54.33503122,216.9452683,39.1157108,0.719898561,20.75435913,32.16846601,40.1245484,57.73020739,237.6996274,0.287246034,0.382550768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477393942,0.481439653,119,20.23985044,122.748703,21.41725046,1.058172368,2.652265549,8.163209915,11.78620529,21.23925018,125.4009686,0.436323037,0.529371957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21386,AMIGACarb_Yuc_North_2_Apr2013,s386,0.37025059,0.375059039,78,54.04282622,214.9981871,46.8655171,0.867192195,21.58919803,28.12783957,36.7269571,55.39055849,236.5873852,0.317352063,0.43814861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521692896,0.528468129,78,18.29137994,182.7024193,26.40849257,1.4437671,2.023500443,6.327098131,10.34102345,15.46434259,184.7259197,0.445917074,0.644018563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21387,AMIGACarb_Yuc_North_2_Apr2013,s387,0.350139165,0.352694926,138,63.60004172,203.5992908,45.07918673,0.708791779,20.74484083,33.7960804,45.74445695,79.84314382,224.3441316,0.322526094,0.387779789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572153181,0.57642298,135,29.64982233,268.9435196,41.78453893,1.409267767,2.270908356,7.828500748,13.23921585,33.37197685,271.2144279,0.522514232,0.637357393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21388,AMIGACarb_Yuc_North_2_Apr2013,s388,0.216837121,0.240930134,10,43.32556802,43.28346458,17.97488971,0.414879493,24.67062376,27.67346718,36.57311122,60.05506351,67.95408834,0.217121505,0.266156319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21417,AMIGACarb_Yuc_North_2_Apr2013,s417,0.268543262,0.271900053,81,44.89832646,148.4967171,25.8004961,0.574642712,20.06713875,27.75135341,37.84247277,52.75067551,168.5638558,0.231577594,0.343128435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427522387,0.432866416,81,16.56088052,129.847105,18.32556954,1.106557681,1.648117065,7.616420746,11.48978996,18.35160065,131.4952221,0.35619424,0.541844714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21420,AMIGACarb_Yuc_North_2_Apr2013,s420,0.346488513,0.36472475,20,62.70686096,199.02472,48.06219309,0.766458285,22.90507743,32.54279673,46.18791073,72.62491335,221.9297974,0.263505276,0.475437448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.486298871,0.511893549,20,24.09091415,107.4077263,27.07204908,1.123745197,4.171291351,9.837283611,15.29174709,23.51475143,111.5790176,0.375522375,0.630317424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
